Time (d), O2 MC1 (%), CO2 MC1 (%), Time (d), O2 MC2 (%), CO2 MC2 (%), pH MC2, DO MC2 (uM), Time (d), O2 MC3 (%), CO2 MC3 (%), Time (d), O2 MC4 (%), CO2 MC4 (%), Time (d), O2 MC5 (%), CO2 MC5 (%), pH MC5, DO MC5 (uM), Time (d), O2 MC6 (%), CO2 MC6 (%)
4.20583,21.03,6.40E-02,4.20733,21.02,6.40E-02,7.23,192.71,4.20876,21.02,5.80E-02,4.21021,21.04,5.50E-02,4.21169,21.02,6.30E-02,7.39,262.56,4.21314,21.02,5.60E-02
4.24751,21.03,6.20E-02,4.24899,21.03,6.40E-02,7.23,192.95,4.25045,21.03,6.20E-02,4.2519,21.04,5.20E-02,4.25338,21.03,6.20E-02,7.39,263.91,4.25484,21.03,6.00E-02
4.2892,21.03,6.30E-02,4.29069,21.02,6.30E-02,7.23,192.71,4.29214,21.03,6.30E-02,4.29358,21.03,5.40E-02,4.29507,21.03,6.30E-02,7.38,262.15,4.29652,21.02,6.00E-02
4.33089,21.02,6.40E-02,4.33238,21.01,6.30E-02,7.22,192.66,4.33383,21.01,6.30E-02,4.33528,21.04,5.30E-02,4.33677,21.02,6.30E-02,7.39,263.38,4.33822,21.03,5.60E-02
4.37259,21.03,6.40E-02,4.37407,21.03,6.40E-02,7.21,192.42,4.37553,21.03,6.40E-02,4.37698,21.04,5.40E-02,4.37846,21.03,6.30E-02,7.39,263.91,4.37992,21.03,6.30E-02
4.41428,21.03,6.70E-02,4.41578,21.02,6.50E-02,7.22,193.07,4.41722,21.02,6.30E-02,4.41868,21.03,5.70E-02,4.42016,21.02,6.30E-02,7.42,266.25,4.42161,21.02,6.20E-02
4.45598,21.04,6.10E-02,4.45747,21.02,6.50E-02,7.23,192.6,4.4589,21.03,6.30E-02,4.46035,21.05,6.10E-02,4.46183,21.03,6.20E-02,7.45,269.06,4.46328,21.03,6.10E-02
4.49774,21.03,5.70E-02,4.49924,21.02,6.10E-02,7.26,194,4.50067,21.03,5.60E-02,4.50211,21.03,5.60E-02,4.50359,21.02,5.70E-02,7.45,267.3,4.50503,21.01,6.20E-02
4.53951,21.02,5.60E-02,4.54098,21.03,6.30E-02,7.28,194.88,4.54243,21.03,6.00E-02,4.54387,21.04,5.30E-02,4.54534,21.04,5.50E-02,7.47,269.06,4.54678,21.02,5.70E-02
4.58127,21.03,6.30E-02,4.58275,21.05,6.30E-02,7.29,196.58,4.58421,21.04,5.40E-02,4.58566,21.05,5.40E-02,4.58714,21.05,6.30E-02,7.48,267.54,4.5886,21.03,5.50E-02
4.62296,20.99,7.30E-02,4.62446,21.01,6.40E-02,7.31,194.88,4.6259,21.02,6.30E-02,4.62735,21.03,6.30E-02,4.62884,21.03,6.30E-02,7.43,265.66,4.63029,21,6.30E-02
4.66466,21.03,6.30E-02,4.66615,21.04,5.30E-02,7.32,194.88,4.6676,21.03,5.30E-02,4.66905,21.03,5.00E-02,4.67053,21.04,5.30E-02,7.15,267.36,4.67199,21.03,5.30E-02
4.70635,21.03,6.30E-02,4.70785,21.05,4.70E-02,7.33,194.41,4.70929,21.05,4.50E-02,4.71074,21.05,5.00E-02,4.71222,21.05,4.60E-02,7.07,265.66,4.71368,21.05,4.80E-02
4.74804,21.03,6.10E-02,4.74954,21.04,5.10E-02,7.34,195,4.75098,21.05,5.20E-02,4.75243,21.04,5.50E-02,4.75392,21.05,5.10E-02,7.08,267.83,4.75537,21.04,6.10E-02
4.78975,21.03,6.30E-02,4.79123,21.03,5.50E-02,7.34,194.88,4.79269,21.04,5.30E-02,4.79413,21.03,5.40E-02,4.79561,21.04,5.30E-02,7.06,265.72,4.79707,21.03,5.30E-02
4.83144,21.04,5.60E-02,4.83293,21.05,5.30E-02,7.35,194.53,4.83438,21.05,5.30E-02,4.83582,21.04,5.30E-02,4.83731,21.07,4.70E-02,7.07,266.37,4.83876,21.06,5.30E-02
4.87314,21.04,5.80E-02,4.87462,21.04,5.80E-02,7.36,194.77,4.87608,21.05,5.80E-02,4.87752,21.03,5.90E-02,4.879,21.05,5.80E-02,7.06,267.42,4.88046,21.04,5.80E-02
4.91483,21.04,5.40E-02,4.91632,21.04,5.40E-02,7.36,194.77,4.91777,21.05,5.40E-02,4.91921,21.02,6.30E-02,4.92071,21.05,5.30E-02,7.1,265.66,4.92215,21.04,5.30E-02
4.95653,21.04,5.30E-02,4.95802,21.04,5.30E-02,7.36,195.64,4.95947,21.04,5.30E-02,4.96091,21.02,5.70E-02,4.9624,21.03,5.30E-02,7.1,267.77,4.96385,21.03,5.30E-02
4.99822,21.05,5.30E-02,4.99971,21.06,5.20E-02,7.37,196.11,5.00116,21.05,5.20E-02,5.0026,21.04,5.30E-02,5.0041,21.05,5.20E-02,7.09,267.42,5.00554,21.05,4.60E-02
5.03992,21.05,5.50E-02,5.04141,21.05,5.50E-02,7.37,195.47,5.04286,21.05,4.50E-02,5.04431,21.04,5.50E-02,5.04579,21.05,4.60E-02,7.1,267.42,5.04725,21.04,4.60E-02
5.08161,21.05,5.40E-02,5.0831,21.05,5.30E-02,7.37,195.88,5.08455,21.06,5.20E-02,5.086,21.05,5.90E-02,5.08749,21.06,5.20E-02,7.11,267.36,5.08894,21.06,5.30E-02
5.12331,21.04,5.10E-02,5.1248,21.05,4.80E-02,7.38,195.53,5.12625,21.05,4.80E-02,5.1277,21.03,4.80E-02,5.12919,21.05,4.80E-02,7.11,265.72,5.13064,21.06,4.80E-02
5.16501,21.04,5.20E-02,5.16648,21.05,5.20E-02,7.38,195.12,5.16793,21.05,4.40E-02,5.16937,21.04,4.60E-02,5.17084,21.04,4.20E-02,7.12,267.42,5.17229,21.04,4.20E-02
5.20676,21.05,5.20E-02,5.20823,21.06,5.20E-02,7.38,195.18,5.20981,21.06,4.30E-02,5.21138,21.04,4.30E-02,5.21285,21.05,4.20E-02,7.13,266.07,5.21442,21.06,4.20E-02
5.24854,21.04,4.40E-02,5.25001,21.04,4.30E-02,7.39,194.82,5.25146,21.05,4.30E-02,5.25289,21.04,4.80E-02,5.25436,21.05,4.30E-02,7.15,267.13,5.25594,21.05,4.60E-02
